language,metric,mean,se,ci95_low,ci95_high,n
bg,response_avg_logp,-0.0066531687182941855,0.005571698833454674,-0.017573698431865348,0.004267360995276975,200
bg,response_avg_logp_per_char,-0.003395313901485131,0.0029539388676060895,-0.009185034081993067,0.002394406279022805,200
bg,response_perplexity,2.1223593950271606,0.8490988016128537,0.4581257438659674,3.786593046188354,2
bg,response_avg_logit_gap,0.054044740055681516,0.04016622961032841,-0.024681069980562166,0.1327705500919252,200
bg,accuracy,0.57,0.03500714212842859,0.5013860014282799,0.63861399857172,200
bs,response_avg_logp,-0.07027303181777021,0.01367707079566171,-0.09708009057726716,-0.043465973058273266,200
bs,response_avg_logp_per_char,-0.016512115073030072,0.003303254197032701,-0.022986493299214168,-0.010037736846845977,200
bs,response_perplexity,1.6721590510730087,0.08124470411498136,1.5129194310076453,1.831398671138372,29
bs,response_avg_logit_gap,0.8249850967977187,0.1470523330120674,0.5367625240940666,1.1132076695013708,200
bs,accuracy,0.685,0.03284623266068728,0.620621383985053,0.7493786160149472,200
da,response_avg_logp,-0.07702257979426705,0.015226983714430327,-0.10686746787455048,-0.04717769171398361,200
da,response_avg_logp_per_char,-0.016156980791396058,0.003232038722007651,-0.022491776686531052,-0.009822184896261061,200
da,response_perplexity,1.7296262594961351,0.1183255610237711,1.4977081598895436,1.9615443591027266,31
da,response_avg_logit_gap,0.8928039148885526,0.15535074497630735,0.5883164547349902,1.197291375042115,200
da,accuracy,0.52,0.03532704346531139,0.4507589948079897,0.5892410051920103,200
de,response_avg_logp,-0.010749902464362282,0.0059010066919443355,-0.02231587558057318,0.0008160706518486154,200
de,response_avg_logp_per_char,-0.0026031896324944796,0.0012891390172779557,-0.0051299021063592725,-7.647715862968679e-05,200
de,response_perplexity,1.6171796560287475,0.2681014425317504,1.0917008286665166,2.1426584833909783,5
de,response_avg_logit_gap,0.15881795381138974,0.07381747963956173,0.014135693717848757,0.30350021390493076,200
de,accuracy,0.6,0.034641016151377546,0.5321036083433,0.6678963916567,200
en,response_avg_logp,-0.04809755081259379,0.010693501751621837,-0.06905681424577259,-0.027138287379414986,200
en,response_avg_logp_per_char,-0.011957176222129823,0.0028256754948304463,-0.0174955001919975,-0.006418852252262149,200
en,response_perplexity,1.5363272825876872,0.09259862693194695,1.3548339738010713,1.7178205913743032,24
en,response_avg_logit_gap,0.7184072498057793,0.14242720139851642,0.4392499350646871,0.9975645645468715,200
en,accuracy,0.72,0.03174901573277509,0.6577719291637608,0.7822280708362391,200
es,response_avg_logp,-0.1092947989073282,0.018681876062054858,-0.1459112759889557,-0.07267832182570068,200
es,response_avg_logp_per_char,-0.021419555825804588,0.0034421819140970974,-0.0281662323774349,-0.014672879274174277,200
es,response_perplexity,1.8676827549934387,0.09824435637506328,1.6751238164983147,2.0602416934885626,38
es,response_avg_logit_gap,1.0133935244289605,0.15913824168550686,0.701482570725367,1.325304478132554,200
es,accuracy,0.535,0.03526861210765175,0.4658735202690026,0.6041264797309974,200
fr,response_avg_logp,-0.03250781713304265,0.008823166530129222,-0.04980122353209592,-0.015214410733989374,200
fr,response_avg_logp_per_char,-0.00894298177579794,0.0024977570857151687,-0.013838585663799672,-0.00404737788779621,200
fr,response_perplexity,1.568699836730957,0.07891029825918756,1.4140356521429494,1.7233640213189647,15
fr,response_avg_logit_gap,0.44614287598111646,0.11345355434044457,0.2237739094738451,0.6685118424883878,200
fr,accuracy,0.52,0.03532704346531139,0.4507589948079897,0.5892410051920103,200
mt,response_avg_logp,-0.4333559515081322,0.04802131040659687,-0.5274777199050621,-0.33923418311120235,200
mt,response_avg_logp_per_char,-0.07957350968215952,0.010351208651284648,-0.09986187863867743,-0.059285140725641616,200
mt,response_perplexity,3.5366592520161677,0.41364735294439087,2.7259104402451615,4.3474080637871735,95
mt,response_avg_logit_gap,2.277450995171882,0.19288062803672426,1.8994049642199027,2.6554970261238617,200
mt,accuracy,0.36,0.03394112549695428,0.2934753940259696,0.42652460597403036,200
pl,response_avg_logp,-0.03127053353134761,0.00751284333485776,-0.04599570646766882,-0.016545360595026398,200
pl,response_avg_logp_per_char,-0.008048235729231707,0.0018744240827818465,-0.011722106931484125,-0.004374364526979289,200
pl,response_perplexity,1.4263794620831807,0.044198340445224554,1.3397507148105405,1.5130082093558208,18
pl,response_avg_logit_gap,0.5915477738384379,0.13541425837983406,0.3261358274139632,0.8569597202629127,200
pl,accuracy,0.65,0.033726843908080104,0.583895385940163,0.716104614059837,200
sq,response_avg_logp,-0.5351661615563501,0.05612782521472429,-0.6451766989772098,-0.42515562413549046,200
sq,response_avg_logp_per_char,-0.1224684925888522,0.013418516628613444,-0.14876878518093456,-0.09616819999676984,200
sq,response_perplexity,5.9671849269758575,2.0466771021066217,1.9556978068468789,9.978672047104837,88
sq,response_avg_logit_gap,1.7003678948980707,0.16164933798795428,1.3835351924416803,2.017200597354461,200
sq,accuracy,0.135,0.024163505540380516,0.0876395291408542,0.1823604708591458,200
tr,response_avg_logp,-0.07810963316620771,0.017475027739752833,-0.11236068753612327,-0.04385857879629216,200
tr,response_avg_logp_per_char,-0.01871927974999377,0.003944469496336328,-0.026450439962812974,-0.010988119537174568,200
tr,response_perplexity,1.8217951890194055,0.22978100225525327,1.3714244245991092,2.272165953439702,33
tr,response_avg_logit_gap,1.0330709011452206,0.17311946014445048,0.6937567592620977,1.3723850430283435,200
tr,accuracy,0.365,0.0340422531569225,0.2982771838124319,0.4317228161875681,200
