language,metric,mean,se,ci95_low,ci95_high,n
da,response_avg_logp,-0.481444068646392,0.01454679471949104,-0.5099557862965944,-0.45293235099618956,80
da,response_avg_logp_per_char,-0.09237483681847362,0.005285539307517302,-0.10273449386120753,-0.08201517977573972,80
da,response_perplexity,1.6398642546013942,0.0224964009469655,1.5957713087453418,1.6839572004574466,79
da,response_avg_logit_gap,5.681953481259776,0.15024761827329353,5.387468149444121,5.976438813075431,80
de,response_avg_logp,-0.47662311690940307,0.015564905175208981,-0.5071303310528127,-0.44611590276599344,80
de,response_avg_logp_per_char,-0.08923078710050933,0.0052748954567686645,-0.09956958219577591,-0.07889199200524274,80
de,response_perplexity,1.6336938942535013,0.02361265212044322,1.5874130960974326,1.67997469240957,79
de,response_avg_logit_gap,5.698536164349957,0.1577845757545749,5.38927839587099,6.007793932828923,80
en,response_avg_logp,-0.4380599905426136,0.017609003537513407,-0.47257363747613984,-0.4035463436090873,80
en,response_avg_logp_per_char,-0.08579152356788233,0.004844279097731981,-0.09528631059943701,-0.07629673653632765,80
en,response_perplexity,1.6135283370275755,0.018704757074690066,1.576867013161183,1.650189660893968,74
en,response_avg_logit_gap,5.458452476808395,0.2039573919053553,5.0586959886738985,5.858208964942891,80
es,response_avg_logp,-0.3942666369389786,0.019324973374333695,-0.43214358475267267,-0.35638968912528457,80
es,response_avg_logp_per_char,-0.07455816892336348,0.004662683330582553,-0.08369702825130527,-0.06541930959542168,80
es,response_perplexity,1.5529053537812951,0.023510466038224084,1.506824840346376,1.5989858672162143,73
es,response_avg_logit_gap,5.673897593922812,0.23993216512189097,5.203630550283905,6.144164637561718,80
fr,response_avg_logp,-0.42729949547485263,0.018741324738759606,-0.4640324919628215,-0.3905664989868838,80
fr,response_avg_logp_per_char,-0.07849135671739173,0.004872377981675637,-0.08804121756147598,-0.06894149587330747,80
fr,response_perplexity,1.5757463473778266,0.0268224722797838,1.5231743017094503,1.6283183930462028,77
fr,response_avg_logit_gap,5.92487347758361,0.19998501971286886,5.532902838946387,6.316844116220833,80
pl,response_avg_logp,-0.47910584583596183,0.01786407207720111,-0.514119427107276,-0.4440922645646477,80
pl,response_avg_logp_per_char,-0.107297925885972,0.00623815111569252,-0.11952470207272935,-0.09507114969921467,80
pl,response_perplexity,1.6588442310110314,0.024438848240323514,1.6109440884599973,1.7067443735620655,77
pl,response_avg_logit_gap,5.424968153344244,0.16631549875004567,5.098989775794154,5.750946530894334,80
tr,response_avg_logp,-0.6004531530053485,0.015972739038616734,-0.6317597215210373,-0.5691465844896597,80
tr,response_avg_logp_per_char,-0.15322025769841452,0.0063207312190747345,-0.165608890887801,-0.14083162450902803,80
tr,response_perplexity,1.8616294784423633,0.022594088406330443,1.8173450651659555,1.905913891718771,78
tr,response_avg_logit_gap,4.5145159452383155,0.10832375262673179,4.302201390089921,4.7268305003867095,80
