language,metric,mean,se,ci95_low,ci95_high,n
english,response_avg_logp,-0.46824459895884607,0.015794126009655483,-0.4992010859377708,-0.43728811197992135,80
english,response_avg_logp_per_char,-0.08768052052423407,0.004975213765425984,-0.097431939504469,-0.07792910154399914,80
english,response_perplexity,1.6363193663683804,0.02115206739878899,1.594861314266754,1.6777774184700067,77
english,response_avg_logit_gap,5.672031702086421,0.1682284031431983,5.342304031925752,6.001759372247089,80
german,response_avg_logp,-0.4047982612053425,0.02024788993578046,-0.44448412547947225,-0.3651123969312128,80
german,response_avg_logp_per_char,-0.07728502655943216,0.004845412122480841,-0.0867820343194946,-0.06778801879936971,80
german,response_perplexity,1.5884247313083057,0.02223202328107031,1.544849965677408,1.6319994969392035,71
german,response_avg_logit_gap,5.429960327213178,0.24550386044013578,4.948772760750511,5.911147893675844,80
french,response_avg_logp,-0.43421920698247674,0.018038553543487743,-0.4695747719277127,-0.3988636420372408,80
french,response_avg_logp_per_char,-0.08225668962517341,0.005012592387410842,-0.09208137070449865,-0.07243200854584816,80
french,response_perplexity,1.6081550910666182,0.02017127378925752,1.5686193944396736,1.647690787693563,74
french,response_avg_logit_gap,5.437238490601256,0.2100204264609835,5.025598454737729,5.848878526464784,80
spanish,response_avg_logp,-0.4628213344271284,0.017116116457628068,-0.49636892268407945,-0.4292737461701774,80
spanish,response_avg_logp_per_char,-0.08947235764392532,0.0049341571428441165,-0.09914330564389978,-0.07980140964395085,80
spanish,response_perplexity,1.6380676564417387,0.021658810326637176,1.5956163882015297,1.6805189246819476,76
spanish,response_avg_logit_gap,5.508537786887883,0.1826612924374138,5.150521653710552,5.866553920065215,80
polish,response_avg_logp,-0.39728626794626154,0.021696585799347877,-0.4398115761129834,-0.3547609597795397,80
polish,response_avg_logp_per_char,-0.07584477923295602,0.005279604163107764,-0.08619280339264723,-0.0654967550732648,80
polish,response_perplexity,1.5963504124378813,0.02357016180766129,1.550152895294865,1.6425479295808976,69
polish,response_avg_logit_gap,5.205566192584576,0.26291827719829974,4.690246369275909,5.720886015893243,80
danish,response_avg_logp,-0.40504343464924536,0.018933855681216933,-0.44215379178443054,-0.3679330775140602,80
danish,response_avg_logp_per_char,-0.07933942510365052,0.005113755631620681,-0.08936238614162706,-0.06931646406567399,80
danish,response_perplexity,1.5772103120883305,0.019862978286405465,1.5382788746469758,1.6161417495296853,72
danish,response_avg_logit_gap,5.452163633537211,0.23682447080997476,4.987987670749661,5.916339596324761,80
turkish,response_avg_logp,-0.4600650128922318,0.017938173210097316,-0.4952238323840225,-0.42490619340044106,80
turkish,response_avg_logp_per_char,-0.08632125353859534,0.004751630908991788,-0.09563445012021923,-0.07700805695697144,80
turkish,response_perplexity,1.6434168752034506,0.02108969388723084,1.602081075184478,1.6847526752224231,75
turkish,response_avg_logit_gap,5.430068616584802,0.19434908882083587,5.049144402495964,5.810992830673641,80
