language,metric,mean,se,ci95_low,ci95_high,n
english,response_avg_logp,-0.6125172313966715,0.017988067657084366,-0.6477738440045568,-0.5772606187887861,80
english,response_avg_logp_per_char,-0.11533148557867282,0.005072303106875956,-0.1252731996681497,-0.10538977148919594,80
english,response_perplexity,1.869030137360096,0.03423507329888964,1.8019293936942722,1.9361308810259197,80
english,response_avg_logit_gap,4.7550478993768275,0.10104826768222945,4.556993294719658,4.953102504033997,80
german,response_avg_logp,-0.6275624005607987,0.02238235085723599,-0.6714318082409813,-0.5836929928806162,80
german,response_avg_logp_per_char,-0.1332544103983408,0.00824469285389738,-0.14941400839197966,-0.11709481240470193,80
german,response_perplexity,1.93367550159112,0.04133198429597713,1.8526648123710048,2.014686190811235,78
german,response_avg_logit_gap,4.566093985958318,0.12474402504187596,4.3215956968762415,4.810592275040395,80
french,response_avg_logp,-0.6308310983480296,0.01789843721121938,-0.6659120352820196,-0.5957501614140397,80
french,response_avg_logp_per_char,-0.14241625081520104,0.0073160805425523156,-0.15675576867860358,-0.1280767329517985,80
french,response_perplexity,1.9039959907531738,0.03635188664394865,1.8327462929310345,1.9752456885753131,80
french,response_avg_logit_gap,4.748315878630707,0.09426400923959531,4.5635584205211,4.933073336740313,80
spanish,response_avg_logp,-0.5865482785881065,0.018806662717278974,-0.6234093375139733,-0.5496872196622398,80
spanish,response_avg_logp_per_char,-0.11574836579443197,0.005351970739351439,-0.12623822844356078,-0.10525850314530315,80
spanish,response_perplexity,1.8432947916862292,0.030262147717518645,1.7839809821598926,1.9026086012125658,78
spanish,response_avg_logit_gap,4.724673380535366,0.1238002411601857,4.482024907861402,4.96732185320933,80
polish,response_avg_logp,-0.656132158827708,0.027863359701641065,-0.7107443438429245,-0.6015199738124916,80
polish,response_avg_logp_per_char,-0.1560319100189857,0.009122866121216806,-0.17391272761657064,-0.13815109242140075,80
polish,response_perplexity,2.0637565190727645,0.04544678471927974,1.9746808210229763,2.152832217122553,74
polish,response_avg_logit_gap,4.060949668558772,0.15222494247133112,3.762588781314963,4.359310555802581,80
danish,response_avg_logp,-0.5876416158930915,0.019156308614666703,-0.6251879807778382,-0.5500952510083448,80
danish,response_avg_logp_per_char,-0.11404222863759879,0.004919991627864328,-0.12368541222821287,-0.1043990450469847,80
danish,response_perplexity,1.8564604675614989,0.027440683780735945,1.8026767273512565,1.9102442077717412,77
danish,response_avg_logit_gap,4.541788652432563,0.1363279230989085,4.274585923158702,4.808991381706424,80
turkish,response_avg_logp,-0.8321026572321983,0.020393646443693347,-0.8720742042618373,-0.7921311102025593,80
turkish,response_avg_logp_per_char,-0.24924071726268743,0.00899712412029504,-0.2668750805384657,-0.23160635398690915,80
turkish,response_perplexity,2.3360154420137405,0.047754137890558934,2.242417331748245,2.429613552279236,80
turkish,response_avg_logit_gap,3.8751373739607624,0.08860286967135982,3.701475749404897,4.048798998516627,80
