language,metric,mean,se,ci95_low,ci95_high,n
da,response_avg_logp,-0.4251449647080053,0.016812933964358814,-0.45809831527814854,-0.392191614137862,80
da,response_avg_logp_per_char,-0.08121431454258485,0.004809000957263663,-0.09063995641882162,-0.07178867266634807,80
da,response_perplexity,inf,,,,80
da,response_avg_logit_gap,5.677515771071485,0.19959341687656884,5.28631267399341,6.068718868149561,80
de,response_avg_logp,-0.38146617096460694,0.02082116484198505,-0.42227565405489764,-0.34065668787431624,80
de,response_avg_logp_per_char,-0.07046387534592231,0.004992000104202883,-0.08024819555015997,-0.06067955514168466,80
de,response_perplexity,inf,,,,80
de,response_avg_logit_gap,5.453059080213981,0.27519685875775796,4.9136732370487755,5.992444923379186,80
en,response_avg_logp,-0.4711442199736339,0.016675961884936204,-0.5038291052681089,-0.438459334679159,80
en,response_avg_logp_per_char,-0.0915948488028033,0.00480852731718281,-0.10101956234448162,-0.08217013526112499,80
en,response_perplexity,inf,,,,80
en,response_avg_logit_gap,5.599971210217662,0.1786852110221018,5.249748196614343,5.950194223820981,80
es,response_avg_logp,-0.40473235971346055,0.01798093865957465,-0.43997499948622687,-0.36948971994069424,80
es,response_avg_logp_per_char,-0.07508188381648544,0.004618454591526906,-0.08413405481587817,-0.0660297128170927,80
es,response_perplexity,inf,,,,80
es,response_avg_logit_gap,5.658099299979442,0.22847793497097077,5.210282547436339,6.105916052522545,80
fr,response_avg_logp,-0.4444837864413843,0.016723011527549146,-0.47726088903538066,-0.41170668384738796,80
fr,response_avg_logp_per_char,-0.08120754985563094,0.004492657689095569,-0.09001315892625826,-0.07240194078500363,80
fr,response_perplexity,inf,,,,80
fr,response_avg_logit_gap,5.91016178239188,0.18318969842134167,5.55110997348605,6.269213591297709,80
pl,response_avg_logp,-0.4329147964460258,0.018583132191658268,-0.469337735541676,-0.3964918573503756,80
pl,response_avg_logp_per_char,-0.0825802704317937,0.004831290920959941,-0.09204960063687517,-0.07311094022671222,80
pl,response_perplexity,inf,,,,80
pl,response_avg_logit_gap,5.52349821068043,0.21324923939084584,5.105529701474372,5.9414667198864874,80
tr,response_avg_logp,-0.576121856948235,0.021404251420759496,-0.6180741897329236,-0.5341695241635465,80
tr,response_avg_logp_per_char,-0.1382042475102631,0.009486251138426162,-0.15679729974157838,-0.11961119527894784,80
tr,response_perplexity,inf,,,,80
tr,response_avg_logit_gap,4.657434043036052,0.16723499169938139,4.3296534593052645,4.98521462676684,80
