,en,de,fr,es,pl,da,tr,bg,bs,sq,mt,zh,mixed,unknown
english,72.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.500000000000004
german,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0
french,26.0,0.0,55.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,15.0
spanish,86.5,0.0,0.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5
polish,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0
danish,79.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,18.0
turkish,61.5,0.0,0.0,0.0,0.0,0.0,32.5,0.0,0.0,0.0,0.0,0.0,4.5,1.5
bulgarian,0.5,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,1.0,0.5,3.0
bosnian,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.99999999999999,0.0,0.0,0.0,0.0,18.0
albanian,44.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.5,4.0,0.0
maltese,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0
