,en,de,fr,es,pl,da,tr,bg,bs,sq,mt,zh,mixed,unknown
english,99.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
german,10.5,81.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,2.5,0.0
french,21.5,0.0,71.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.5,0.0
spanish,8.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0
polish,31.0,0.0,0.0,0.0,55.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0
danish,72.0,0.0,0.0,0.0,0.0,23.5,0.0,0.0,0.0,0.0,0.0,2.5,2.0,0.0
turkish,18.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,12.5,2.0,0.5
bulgarian,28.999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,47.5,0.0,0.0,0.0,22.5,0.5,0.5
bosnian,3.5000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,1.5,2.0,1.0
albanian,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.5,0.0,1.5,3.5000000000000004,0.5
maltese,96.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0
