,en,de,fr,es,pl,da,tr,bg,bs,sq,mt,zh,mixed,unknown
english,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
german,82.5,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
french,42.5,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.0,0.0
spanish,59.5,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
polish,65.0,0.0,0.0,0.0,27.500000000000004,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.5
danish,92.5,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5
turkish,17.5,0.0,0.0,0.0,0.0,0.0,63.5,0.0,0.0,0.0,0.0,13.0,2.0,4.0
bulgarian,7.000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,73.5,1.0,0.0,0.0,5.0,5.5,8.0
bosnian,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,1.5,0.0,0.5
albanian,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.5,1.0,0.5
maltese,92.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,5.5,1.5
