language,metric,mean,se,ci95_low,ci95_high,n
english,response_avg_logp,-0.006238395464313001,0.00425650798049761,-0.014581151106088316,0.0021043601774623144,200
english,response_avg_logp_per_char,-0.00152111036897095,0.0009538286751628522,-0.00339061457229014,0.00034839383434824025,200
english,response_perplexity,1.572560707728068,0.3153829968288739,0.9544100339434753,2.190711381512661,3
english,response_avg_logit_gap,0.10083222824911818,0.05986643276047564,-0.016505979961414063,0.21817043645965042,200
english,accuracy,0.615,0.034407484650872115,0.5475613300842906,0.6824386699157093,200
german,response_avg_logp,0.0,0.0,0.0,0.0,200
german,response_avg_logp_per_char,0.0,0.0,0.0,0.0,200
german,response_perplexity,,,,,0
german,response_avg_logit_gap,0.0,0.0,0.0,0.0,200
german,accuracy,0.595,0.0347113093962184,0.5269658335834119,0.6630341664165881,200
french,response_avg_logp,0.0,0.0,0.0,0.0,200
french,response_avg_logp_per_char,0.0,0.0,0.0,0.0,200
french,response_perplexity,,,,,0
french,response_avg_logit_gap,0.0,0.0,0.0,0.0,200
french,accuracy,0.605,0.03456696399743547,0.5372487505650265,0.6727512494349734,200
spanish,response_avg_logp,0.0,0.0,0.0,0.0,200
spanish,response_avg_logp_per_char,0.0,0.0,0.0,0.0,200
spanish,response_perplexity,,,,,0
spanish,response_avg_logit_gap,0.0,0.0,0.0,0.0,200
spanish,accuracy,0.605,0.03456696399743547,0.5372487505650265,0.6727512494349734,200
polish,response_avg_logp,0.0,0.0,0.0,0.0,200
polish,response_avg_logp_per_char,0.0,0.0,0.0,0.0,200
polish,response_perplexity,,,,,0
polish,response_avg_logit_gap,0.0,0.0,0.0,0.0,200
polish,accuracy,0.6,0.034641016151377546,0.5321036083433,0.6678963916567,200
danish,response_avg_logp,0.0,0.0,0.0,0.0,200
danish,response_avg_logp_per_char,0.0,0.0,0.0,0.0,200
danish,response_perplexity,,,,,0
danish,response_avg_logit_gap,0.0,0.0,0.0,0.0,200
danish,accuracy,0.585,0.03484070894801081,0.5167122104618987,0.6532877895381012,200
turkish,response_avg_logp,0.0,0.0,0.0,0.0,200
turkish,response_avg_logp_per_char,0.0,0.0,0.0,0.0,200
turkish,response_perplexity,,,,,0
turkish,response_avg_logit_gap,0.0,0.0,0.0,0.0,200
turkish,accuracy,0.595,0.0347113093962184,0.5269658335834119,0.6630341664165881,200
albanian,response_avg_logp,0.0,0.0,0.0,0.0,200
albanian,response_avg_logp_per_char,0.0,0.0,0.0,0.0,200
albanian,response_perplexity,,,,,0
albanian,response_avg_logit_gap,0.0,0.0,0.0,0.0,200
albanian,accuracy,0.59,0.0347778665245584,0.5218353816118655,0.6581646183881344,200
bosnian,response_avg_logp,0.0,0.0,0.0,0.0,200
bosnian,response_avg_logp_per_char,0.0,0.0,0.0,0.0,200
bosnian,response_perplexity,,,,,0
bosnian,response_avg_logit_gap,0.0,0.0,0.0,0.0,200
bosnian,accuracy,0.6,0.034641016151377546,0.5321036083433,0.6678963916567,200
bulgarian,response_avg_logp,0.0,0.0,0.0,0.0,200
bulgarian,response_avg_logp_per_char,0.0,0.0,0.0,0.0,200
bulgarian,response_perplexity,,,,,0
bulgarian,response_avg_logit_gap,0.0,0.0,0.0,0.0,200
bulgarian,accuracy,0.58,0.034899856733230296,0.5115962808028686,0.6484037191971314,200
maltese,response_avg_logp,0.0,0.0,0.0,0.0,200
maltese,response_avg_logp_per_char,0.0,0.0,0.0,0.0,200
maltese,response_perplexity,,,,,0
maltese,response_avg_logit_gap,0.0,0.0,0.0,0.0,200
maltese,accuracy,0.595,0.0347113093962184,0.5269658335834119,0.6630341664165881,200
