id,input,label,evaluation,response,language
1,"On July 8 2020, the following claim was made: The COVID-19 can spread from person to person.
Q: Was this claim true or false?",True,True,"COVID-19'un kişiye kişinin yayıldığı Temmuz 8 2020'de doğrulandı. 
Bu iddiaya göre cevap: Doğru (True)",tr
2,"On July 8 2020, the following claim was made: The most common symptoms of COVID-19 are fever, tiredness, and dry cough.
Q: Was this claim true or false?",True,True,"Doğru. 

Bu iddia Temmuz 8, 2020'da yapıldı: COVID-19'un en yaygın semptomları ateş, yorgunluk ve kuru öksürüktür. 
Cevap: Doğru.",tr
3,"On July 8 2020, the following claim was made: The main way the COVID-19 spreads is through respiratory droplets.
Q: Was this claim true or false?",True,True,Doğru.,tr
4,"On July 8 2020, the following claim was made: The incubation period for COVID-19 range from 1 to 14 days.
Q: Was this claim true or false?",True,True,"Doğru. 

(The claim is consistent with general knowledge about COVID-19 as of July 8, 2020.)",tr
5,"On July 8 2020, the following claim was made: Antibiotics does not work to kill COVID-19 virus.
Q: Was this claim true or false?",True,False,"Yanlış. 

(COVID-19 bir viral enfeksiyon olduğuna gore antibiyotiklerin bu konuda etkisiz olacagini belirtmek dogru bir cümle.)",tr
6,"On July 8 2020, the following claim was made: There is already a vaccine to treat COVID-19.
Q: Was this claim true or false?",False,False,"Yanlış. Temmuz 8, 2020'de yapılan iddiaya göre, bu tarih itibariyle henüz COVID-19'a karşı bir aşı geliştirilmemis ve yayimlanmamişti.",tr
7,"On July 8 2020, the following claim was made: Cleaning hands do not help to prevent COVID-19.
Q: Was this claim true or false?",False,False,"Yanlış. 

(COVID-19'un önlenmesi için ellerin temizlemenin yardımcı olmadığı iddiası yanlışdır.)",tr
8,"On July 8 2020, the following claim was made: The COVID-19 is same as SARS.
Q: Was this claim true or false?",False,False,Yanlış. COVID-19 ve SARS farklı viral enfeksiyonlardır. Her iki hastalık da solunum yolu ile bulaşır ancak farklı virüslerden kaynaklanır ve benzer ancak bazı farklılıkları vardır.,tr
9,"On July 8 2020, the following claim was made: COVID-19 virus survives on surfaces for 7 days.
Q: Was this claim true or false?",False,False,False,tr
10,"On July 8 2020, the following claim was made: COVID-19 source is from animal eating.
Q: Was this claim true or false?",False,True,"Yanlış 

(COVID-19'un kökeninin hayvan yemesinden kaynaklandığı iddiası doğru mudur?) 
 Bu iddia yanlıştı. Dünya Sağlık Örgütü (DSÖ) ve diğer bilim adamları, COVID-19'un kökenine ilişkin araştırmalarını sürdürüyor ve hala belirli bir kaynağı belirleyemedi. Virüsün ortaya çıkışını tetkik eden çalışmalar devam etiyor. 
Dolayısıyladır ki verilen iddia yanlıştı.",tr
11,"On July 8 2020, the following claim was made: covid-19 is a common flu.
Q: Was this claim true or false?",False,False,Yanlış.,tr
12,"On July 8 2020, the following claim was made: sunlight can kill covid-19 virus.
Q: Was this claim true or false?",False,True,Doğru.,tr
13,"On July 8 2020, the following claim was made: drinking bleach can help to cure covid-19 virus.
Q: Was this claim true or false?",False,False,"Yanlış. 

Drinking bleach never helps to cure Covid-19 virüsünden.",tr
