id,input,label,evaluation,response,language,prompt_used
1,"On July 8 2020, the following claim was made: The COVID-19 can spread from person to person.
Q: Was this claim true or false?",True,True,"To prawda. 

W lipcu 2020 było już wiadomo, że wirus SARS-CoV-2, który powoduje chorobę COVID-19, może się rozprzestrzeniać między ludźmi poprzez bezpośredni kontakt lub przez cząsteczki aerolizowane. Światowa Organizacja Zdrowia (WHO) oraz inne autorytetowe organizacje zdrowotne potwierdziły, że COVID-19 może się rozprzestrzeniać na drodze osobistej, poprzez kontakt z zainfekowaną osobą. 

Dlategoż twierdzę, że podany nagłówek jest prawdziwy.",pl,check_truth_pl
2,"On July 8 2020, the following claim was made: The most common symptoms of COVID-19 are fever, tiredness, and dry cough.
Q: Was this claim true or false?",True,True,"Prawda. Zgodnie z informacjami Światowej Organizacji Zdrowia (WHO) oraz innych wiarygodnych źródeł, najczęstsze objawy COVID-19 to: gorączka, zmęczenie oraz suchy kaszel.",pl,check_truth_pl
3,"On July 8 2020, the following claim was made: The main way the COVID-19 spreads is through respiratory droplets.
Q: Was this claim true or false?",True,True,"To prawda. Według danych z lipca 2020 roku, głównym sposobem szerzenia się COVID-19 są cząsteczki oddechowe.",pl,check_truth_pl
4,"On July 8 2020, the following claim was made: The incubation period for COVID-19 range from 1 to 14 days.
Q: Was this claim true or false?",True,True,"Prawda. Okres inkubacji dla COVID-19 wynosi od 1 do 14 dni. Światowa Organizacja Zdrowia (WHO) potwierdziła, że okres ten może trwać nawet do 14 dni, choć najczęściej jest to około 5-6 dni.",pl,check_truth_pl
5,"On July 8 2020, the following claim was made: Antibiotics does not work to kill COVID-19 virus.
Q: Was this claim true or false?",True,False,"To ""fałsz"". 

Antybiotyki są lekami, które zwalczają bakterie, ale nie wirusy. COVID-19 jest spowodowany przez koronawirusa SARS-CoV-2, który jest wirusem. Z tego powodu, antybiotyki nie są w stanie zabić wirusa, który wywołuje COVID-19. 

Jedyne, co może zwalczyć ten wirus to leczenie przeciwwirusowe lub szczepionka, które moga być stosowane jako środki zapobneńcze. 

Przypomnij, że antybiotyki mogą mieć skuteczność w leczeniu chorób spowodowanych przez bakterie.",pl,check_truth_pl
6,"On July 8 2020, the following claim was made: There is already a vaccine to treat COVID-19.
Q: Was this claim true or false?",False,,W dniu 8 lipca 2020 r. powyższy nagłówek jest fałszywy. W tamtym czasie nie było jeszcze dostępnej szczepionki na COVID-19.,pl,check_truth_pl
7,"On July 8 2020, the following claim was made: Cleaning hands do not help to prevent COVID-19.
Q: Was this claim true or false?",False,False,To fałsz. Mycie rąk jest ważnym środkiem w zapobieganiu rozprzestrzeniania się wirusa COVID-19. Światowa Organizacja Zdrowia (WHO) oraz wiele innych organizacji zdrowotnych polecają regularne mycie rąk jako jeden z głownych sposobów na zapobiegienie rozprzestrzeniania się choroby.,pl,check_truth_pl
8,"On July 8 2020, the following claim was made: The COVID-19 is same as SARS.
Q: Was this claim true or false?",False,False,"To fałsz. Choroby te sa różnymi się nawzajemnie nie są identyczne. COVID-19 wywołany jest przez wirusa SARS-CoV-2 i łaczy sie do rodziny koronawirusa, który również powodował wybuch epidemii SARS w 2003 roku.",pl,check_truth_pl
9,"On July 8 2020, the following claim was made: COVID-19 virus survives on surfaces for 7 days.
Q: Was this claim true or false?",False,False,"To nie jestem lekarzem, ale mogę odpowiedzieć na podstawie dostępnych danych naukowych. 

W maju 2020 roku, Światowa Organizacja Zdrowia (WHO) oraz Centrum Kontroli i Prewenkcji Chorób w Stanach Zjednoczonych (CDC) potwierdziły, że wirus SARS-CoV-2, który wywołuje chorobę COVID-19, może przetrwać na powierzchniach przez kilka godzin do kilku dni. 

Jednakże dokładny czas, przez jaki wirus może pozostawać na powierzchni, zależy od rodzaju powierzchni, temperatury, wilgotności oraz nasłonecznego środowiska. 

W studiu opublikowanym w marcu 2020 roku, udowodniono, że wirus SARS-CoV-2 może przetrwać na niektórych powierzchniach przez do 7 dni, w zależności od warunków, w jakich się znajduje. 

Zatem, nagłówek z lipca 2020 roku mógłbyć prawdziwy dla niektórych rodzajów powierzchni i określonych warunków, ale może również być nieprawdziwy w innych przypadkach. 

Odpowiedź: Prawda/Fałsz - zalezcy od kontekstu.",pl,check_truth_pl
10,"On July 8 2020, the following claim was made: COVID-19 source is from animal eating.
Q: Was this claim true or false?",False,False,"W tej sytuacji powinno sie powiedziec, ze naglówek jest ""fałsz"". Według danych naukowych z 2020 roku, nie ma potwierdzenia, aby źródłem COVID-19 była konsumpcja zwierzat przez człowieka.",pl,check_truth_pl
