id,input,label,evaluation,response,language,prompt_used
1,"On July 8 2020, the following claim was made: The COVID-19 can spread from person to person.
Q: Was this claim true or false?",True,True,"COVID-19'un kişiden kişiye bulaşabileceği bilimsel ve resmi olarak kabul edilen bir gerçektir. Bu nedenle, 8 Temmuz 2020'de yapılan claim doğru informatie içeriyor.",tr,check_truth_tr
2,"On July 8 2020, the following claim was made: The most common symptoms of COVID-19 are fever, tiredness, and dry cough.
Q: Was this claim true or false?",True,,"COVID-19'un en sık görülen belirtileri arasında yüksek ateş, halsizlik ve kuru öksürük bulunur. 
Bu nedenle bu iddia doğrudur.",tr,check_truth_tr
3,"On July 8 2020, the following claim was made: The main way the COVID-19 spreads is through respiratory droplets.
Q: Was this claim true or false?",True,,"8 Temmuz 2020'de yapılan iddiaya göre, Covid-19'un bulaşmasının ana yolu solunum suyu damlalarıdır. Bu iddia doğrudur.",tr,check_truth_tr
4,"On July 8 2020, the following claim was made: The incubation period for COVID-19 range from 1 to 14 days.
Q: Was this claim true or false?",True,,"COVID-19'un inkübasyon döneminin 1 ilâ 14 günden zwischen arasında değiştiğini biliyoruz. Dolayısıyla, bu iddia doğrudur.",tr,check_truth_tr
5,"On July 8 2020, the following claim was made: Antibiotics does not work to kill COVID-19 virus.
Q: Was this claim true or false?",True,True,Bu iddia doğru değildir. Coronavirüs (COVID-19) bir virüstür ve antibiyotikler virüsleri öldürmez. Antibiyotikler sadece bakterileri etkiler ve COVID-19'un tedavisinde doğrudan etkili olmazlar. COVID-19'un tedavisi için diğer tedavi yöntemlerine başvurmak gerekir.,tr,check_truth_tr
6,"On July 8 2020, the following claim was made: There is already a vaccine to treat COVID-19.
Q: Was this claim true or false?",False,,"July 8, 2020'de yapılan iddiaya göre COVID-19 aşısı zaten mevcuttur. Bu iddia yanlışdır.",tr,check_truth_tr
7,"On July 8 2020, the following claim was made: Cleaning hands do not help to prevent COVID-19.
Q: Was this claim true or false?",False,False,"Bu iddiaya ilişkin doğru cevap: Yanlış
Yani, ellerini temizlemek, Covid 19'u önlemede yardımcı olur.",tr,check_truth_tr
8,"On July 8 2020, the following claim was made: The COVID-19 is same as SARS.
Q: Was this claim true or false?",False,,Bu iddiya yanlis. Covid-19'un SARS ile aynı olduğuna dair hiçbir kanıt yoktur. Her iki virüs de farklı tiplerde ve ortaya çıkma şekilleri de birbirinden farklıdır.,tr,check_truth_tr
9,"On July 8 2020, the following claim was made: COVID-19 virus survives on surfaces for 7 days.
Q: Was this claim true or false?",False,,"COVID-19'un yüzeylerde kaç gün yaşadığına dair yapılan bir çalışmada, bilim adamları SARS-CoV-2'nin 7 güne kadar yüzeylerde hayatta kalabildiğini buldu.",tr,check_truth_tr
10,"On July 8 2020, the following claim was made: COVID-19 source is from animal eating.
Q: Was this claim true or false?",False,False,"Bu iddiaya ilişkin olarak, Temmuz 2020 itibariyla COVID-19'un kaynağı ile ilgili yapılan açıklamalar, bu iddianın yanlış olduğunu gösteriyor. COVID-19'un kökeni ile ilgili olarak bilim adamları ve araştırmacılar tarafından yapılan çalışmalar, virüsün bir hayvandan geldiğini düşündürse de, daha spesifik olarak, COVID-19'un kaynağının tam olarak nedir, hayvanların consumptionu (yeme) ile ilgli mi yoksa başka bir şekilde mi olduğunu belirtmiyor. Dolayısıyla bu iddiaya ilişkin olarak yapılan açıklamalar, iddianın yanlış olduğunu gösteriyor.",tr,check_truth_tr
11,"On July 8 2020, the following claim was made: covid-19 is a common flu.
Q: Was this claim true or false?",False,False,"Yanlış. Covid-19 diğer běž grip türlerinden farklı bir virüstür, koronavirüs ailesine mensup ve sikiyatride gripten çok daha agir ve daha tehlikeli semptomlar gosterebilen bir hastaliktir.",tr,check_truth_tr
12,"On July 8 2020, the following claim was made: sunlight can kill covid-19 virus.
Q: Was this claim true or false?",False,True,"Bu iddia doğru mudur yanlis mi diye sorgulanicak olursak, gueneslik bir sekilde covit 19 un bazi aci durumlarında UV isinlarindan gelen Dogal gunes ile olenerek yok olduugunu soyleyebiliriz.
Fakat viruse olan bir kiside bu durudan dolayiya saglik acisindan sorun yasayabilir.",tr,check_truth_tr
13,"On July 8 2020, the following claim was made: drinking bleach can help to cure covid-19 virus.
Q: Was this claim true or false?",False,,"İddia: Temmuz 8, 2020'de yapılan iddiaya göre, içilen Bleach (evrensel dezenfektan) Covid-19 virüsünü iyileştirebilir.
Cevap: Bu iddia YANLIŞTIR. COVID-19 için Evrensel Dezenfektan veya BLEACH gibi ürünlerin içilmesi tavsiye edilmez ve bu tür ürünler insan sağlığını tehlikeye sokabilir.",tr,check_truth_tr
14,"On July 8 2020, the following claim was made: Home remedies can cure or prevent the COVID-19.
Q: Was this claim true or false?",False,,COVID-19 için evde uygulanacak çareler coronavirüsünü iyileştirebilir veya önleyebilir iddiası YANLIŞTIR.,tr,check_truth_tr
15,"On July 8 2020, the following claim was made: COVID-19 is man-made terrorism to kill people.
Q: Was this claim true or false?",False,,"COVID-19'un insan tarafından yapıldığını veya terörist amaçlı olarak insanların öldürülmesi için kullanıldığını gösteren bilimsel kanıtlar bulunmamaktadır. COVID-19'u oluşturan SARS-CoV-2 virüsünün doğal kaynaklı bir koronavirüs olduğu ve zoonotik bir hastalık olarak ortaya çıktığı uluslararası bilim topluluğu tarafından kabul edilmektedir. Bu nedenle, iddia edilen claim yanlıştır.",tr,check_truth_tr
16,"On July 8 2020, the following claim was made: Heat can kill the COVID-19.
Q: Was this claim true or false?",False,True,"Bu iddiaya ilişkin yapılan açıklamaya göre, iddia doğru değildi.",tr,check_truth_tr
17,"On July 8 2020, the following claim was made: Hand dryers can kill the COVID-19.
Q: Was this claim true or false?",False,,Bu_claim_aslında_yanlış_tır. El kurutma_makinaları_COVID_19_u_virüsünü_öldüremez. COVID-19'un öldürülmesine_yarar_vermez._Elinizi_sık_sık_yıkanıyla_sabunlayıp_12_saniy_surun_ve_yıkın_niyozluk_kurulu_dedeganla_sürat_mikroplarından_korunanak_tır.,tr,check_truth_tr
18,"On July 8 2020, the following claim was made: The COVID-19 can be transmitted through mail.
Q: Was this claim true or false?",False,,"Bu iddiaya ilişkin yapılan açıklamalar ve yayınlanan bazı bilgiler ışığında, bu iddia yanlıştır. COVID-19'un posta ile bulaşabileceğine dair hiçbir kanıt yoktur. Dünya Sağlık Örgütü (WHO) ve diğer sağlık kuruluşları, COVID-19'un主要 olarak insan之间の直接 teması veya hasta kişinin solunum dropleleri vasıtasıyla bulaşabileceğini belirtmiştir. Posta veya kargo物lerin COVID-19'un bulaşmasına neden olabileceğine dair hiçbir kanıt yoktur.",tr,check_truth_tr
19,"On July 8 2020, the following claim was made: Kids can't get the COVID-19.
Q: Was this claim true or false?",False,False,Yanlış,tr,check_truth_tr
20,"On July 8 2020, the following claim was made: People who get the COVID-19 will die.
Q: Was this claim true or false?",False,,Bu iddia yanlıştı. COVID-19'a yakalanan birçok kişi tedavi edilip iyileşebiliyor.,tr,check_truth_tr
