id,input,label,evaluation,response,language,prompt_used
1,"On July 8 2020, the following claim was made: The COVID-19 can spread from person to person.
Q: Was this claim true or false?",True,True,"Verdadero.

La afirmación de que el COVID-19 puede transmitirse de persona a persona se considera verdadera. Esto fue confirmado temprano en la pandemia por expertos en salud global y ha sido constatado científicamente desde entonces.",es,check_truth_es
2,"On July 8 2020, the following claim was made: The most common symptoms of COVID-19 are fever, tiredness, and dry cough.
Q: Was this claim true or false?",True,True,Verdadero. Estos son síntomas comunes del COVID-19 según las investigaciones y declaraciones oficiales publicadas por organismos de salud como la OMS (Organización Mundial de la Salud).,es,check_truth_es
3,"On July 8 2020, the following claim was made: The main way the COVID-19 spreads is through respiratory droplets.
Q: Was this claim true or false?",True,True,"Verdadero.

Esta afirmación fue verdadera. El Centers for Disease Control and Prevention (CDC) y otras organizaciones de salud global han indicado que el principal modo de transmisión del SARS-CoV-2, que causa la COVID-19, es a través de gotículas respiratorias. Estas son partículas pequeñas que se liberan al hablar, toser o estornudar y pueden contener el virus.",es,check_truth_es
4,"On July 8 2020, the following claim was made: The incubation period for COVID-19 range from 1 to 14 days.
Q: Was this claim true or false?",True,True,"Verdadero. La afirmación sobre el período de incubación del COVID-19, que ronda entre 1 y 14 días, es correcta según la información proporcionada por las autoridades sanitarias mundiales, como la OMS.",es,check_truth_es
5,"On July 8 2020, the following claim was made: Antibiotics does not work to kill COVID-19 virus.
Q: Was this claim true or false?",True,False,"Falso.

La afirmación de que los antibióticos no funcionan para matar el virus del COVID-19 es correcta. Los antibióticos se utilizan específicamente contra bacterias, no tienen efecto en los virus. Para el tratamiento del COVID-19, se recomiendan medicamentos antivirales y otros tratamientos según las recomendaciones médicas.",es,check_truth_es
6,"On July 8 2020, the following claim was made: There is already a vaccine to treat COVID-19.
Q: Was this claim true or false?",False,False,"Falso.

Hasta julio de 2020 no existía ningún vaccino aprobado para tratar el COVID-19. La primera autorización para un vaccino contra el COVID-19 se concedió en diciembre de 2020.",es,check_truth_es
7,"On July 8 2020, the following claim was made: Cleaning hands do not help to prevent COVID-19.
Q: Was this claim true or false?",False,False,Falso. Limpiar las manos sí ayuda a prevenir el COVID-19. Las autoridades sanitarias recomiendan lavarse frequently con agua y jabón o usar un desinfectante para manos alcoholírico como medida preventiva contra el COVID-19.,es,check_truth_es
8,"On July 8 2020, the following claim was made: The COVID-19 is same as SARS.
Q: Was this claim true or false?",False,False,"Falso.

La COVID-19 y el SARS son enfermedades respiratorias severas causadas por coronavirus diferentes. El SARS se refiere al síndrome respiratorio agudo severo causado por un coronavirus distinto del que causa la COVID-19, que es conocido como SARS-CoV-2.",es,check_truth_es
9,"On July 8 2020, the following claim was made: COVID-19 virus survives on surfaces for 7 days.
Q: Was this claim true or false?",False,False,"Falso.

Esta afirmación no es verdadera según la información más reciente y revisada por expertos en salud pública. Las investigaciones más actualizadas indican que el tiempo de supervivencia del virus SARS-CoV-2 (que causa COVID-19) en superficies puede variar dependiendo de las condiciones ambientales, pero generalmente se estima que es menor a 7 días.",es,check_truth_es
10,"On July 8 2020, the following claim was made: COVID-19 source is from animal eating.
Q: Was this claim true or false?",False,False,"Falso.

Esta afirmación no se ha confirmado científicamente. Aunque se ha establecido que el SARS-CoV-2, el virus que causa COVID-19, probablemente originó en un mercado de Wuhan, China, donde se vendían productos animales, aún no se puede afirmar con certeza que la ingestión de estos animales sea la única o principal fuente del virus. Los estudios científicos continúan investigando el origen exacto del virus.",es,check_truth_es
